Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2008-2023,237,229,34,7263,113,37.24,5586,130.02,7,50,10,643,234
S Dhawan (DC/MI/PBKS/SRH),2008-2023,217,216,29,6617,106*,35.38,5203,127.17,2,50,11,750,148
DA Warner (DC/SRH),2009-2023,176,176,22,6397,126,41.53,4572,139.91,4,61,11,646,226
RG Sharma (DC/MI),2008-2023,243,238,28,6211,109*,29.57,4776,130.04,1,42,16,554,257
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
MS Dhoni (CSK/RPS),2008-2023,250,218,87,5082,84*,38.79,3739,135.91,-,24,5,349,239
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,-,27,8,481,182
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2023,242,221,46,4516,97*,25.8,3403,132.7,-,20,17,439,139
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2023,172,159,17,4400,105*,30.98,3565,123.42,2,30,13,455,96
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31,3404,123.88,-,36,12,492,59
KL Rahul (KXIP/LSG/PBKS/RCB/SRH),2013-2023,118,109,20,4163,132*,46.77,3097,134.42,4,33,4,355,168
F du Plessis (CSK/RCB/RPS),2012-2023,130,123,11,4133,96,36.9,3081,134.14,-,33,7,374,145
SV Samson (DC/RR),2013-2023,152,148,15,3888,119,29.23,2834,137.19,3,20,10,304,182
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2023,170,158,27,3808,114*,29.06,3148,120.96,1,22,14,333,108
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,-,16,5,218,223
SA Yadav (KKR/MI),2012-2023,139,124,22,3249,103*,31.85,2267,143.31,1,21,7,349,112
JC Buttler (MI/RR),2016-2023,96,95,10,3223,124,37.91,2173,148.32,5,19,6,319,149
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
Q de Kock (DC/LSG/MI/RCB/SRH),2013-2023,96,96,6,2907,140*,32.3,2166,134.21,2,20,3,287,114
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130
PA Patel (CSK/DC/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,-,13,13,365,49
RR Pant (DC),2016-2022,98,97,15,2838,128*,34.6,1918,147.96,1,15,4,260,129
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2023,161,136,24,2798,115*,24.98,2185,128.05,1,13,7,278,84
Shubman Gill (GT/KKR),2018-2023,91,88,14,2790,129,37.7,2081,134.07,3,18,4,273,80
SS Iyer (DC/KKR),2015-2022,101,101,13,2776,96,31.54,2214,125.38,-,19,5,237,99
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,-,13,4,217,149
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
GJ Maxwell (DC/KXIP/MI/RCB),2012-2023,124,120,17,2719,95,26.39,1725,157.62,-,18,14,226,158
DA Miller (GT/KXIP/RR),2012-2023,121,115,40,2714,101*,36.18,1961,138.39,1,12,4,187,126
